════════════════════════════════════════════════════════
           VigoLang Lexical Analyzer Output             
           Author: Muhammad Ahmad                       
           Reg: L1F22BSCS0634                           
           Input File: valid_program.vigo            
════════════════════════════════════════════════════════

Line 4: KEYWORD_VOID -> namaloom
Line 4: IDENTIFIER -> ^calculate_sum
Line 4: PUNCTUATION_EXPR_START -> [[
Line 4: KEYWORD_INT -> qaidi_no
Line 4: IDENTIFIER -> ^a
Line 4: PUNCTUATION_COMMA -> ,
Line 4: KEYWORD_INT -> qaidi_no
Line 4: IDENTIFIER -> ^b
Line 4: PUNCTUATION_EXPR_END -> ]]
Line 4: PUNCTUATION_BLOCK_START -> {{
Line 5: KEYWORD_INT -> qaidi_no
Line 5: IDENTIFIER -> ^result
Line 5: OPERATOR_ASSIGN -> :=
Line 5: IDENTIFIER -> ^a
Line 5: OPERATOR_ADD -> +:
Line 5: IDENTIFIER -> ^b
Line 5: PUNCTUATION_TERMINATOR -> @
Line 6: KEYWORD_PRINT -> farmaan
Line 6: OPERATOR_OUTPUT -> <<
Line 6: STRING_LITERAL -> "Sum calculated:"
Line 6: PUNCTUATION_TERMINATOR -> @
Line 7: KEYWORD_PRINT -> farmaan
Line 7: OPERATOR_OUTPUT -> <<
Line 7: IDENTIFIER -> ^result
Line 7: PUNCTUATION_TERMINATOR -> @
Line 8: PUNCTUATION_BLOCK_END -> }}
Line 11: KEYWORD_CLASS -> safehouse
Line 11: IDENTIFIER -> ^Calculator
Line 11: PUNCTUATION_BLOCK_START -> {{
Line 12: KEYWORD_INT -> qaidi_no
Line 12: IDENTIFIER -> ^value
Line 12: PUNCTUATION_TERMINATOR -> @
Line 13: KEYWORD_FLOAT -> float_sarkar
Line 13: IDENTIFIER -> ^pi
Line 13: OPERATOR_ASSIGN -> :=
Line 13: NUMBER_FLOAT -> 3.14159
Line 13: PUNCTUATION_TERMINATOR -> @
Line 14: KEYWORD_STRING -> bayania
Line 14: IDENTIFIER -> ^name
Line 14: OPERATOR_ASSIGN -> :=
Line 14: STRING_LITERAL -> "calculator"
