════════════════════════════════════════════════════════
           VigoLang Lexical Analyzer Output             
           Author: Muhammad Ahmad                       
           Reg: L1F22BSCS0634                           
           Input File: test_program.vigo             
════════════════════════════════════════════════════════

Line 4: KEYWORD_MAIN -> ghq
Line 4: PUNCTUATION_EXPR_START -> [[
Line 4: PUNCTUATION_EXPR_END -> ]]
Line 4: PUNCTUATION_BLOCK_START -> {{
Line 5: KEYWORD_INT -> qaidi_no
Line 5: IDENTIFIER -> ^num
Line 5: OPERATOR_ASSIGN -> :=
Line 5: NUMBER_INTEGER -> 5
Line 5: PUNCTUATION_TERMINATOR -> @
Line 6: KEYWORD_INT -> qaidi_no
Line 6: IDENTIFIER -> ^fact
Line 6: OPERATOR_ASSIGN -> :=
Line 6: NUMBER_INTEGER -> 1
Line 6: PUNCTUATION_TERMINATOR -> @
Line 7: KEYWORD_INT -> qaidi_no
Line 7: IDENTIFIER -> ^i
Line 7: OPERATOR_ASSIGN -> :=
Line 7: NUMBER_INTEGER -> 1
Line 7: PUNCTUATION_TERMINATOR -> @
Line 8: KEYWORD_INT -> qaidi_no
Line 8: IDENTIFIER -> ^sum
Line 8: OPERATOR_ASSIGN -> :=
Line 8: NUMBER_INTEGER -> 0
Line 8: PUNCTUATION_TERMINATOR -> @
Line 9: KEYWORD_INT -> qaidi_no
Line 9: IDENTIFIER -> ^temp
Line 9: OPERATOR_ASSIGN -> :=
Line 9: NUMBER_INTEGER -> 0
Line 9: PUNCTUATION_TERMINATOR -> @
Line 10: KEYWORD_FLOAT -> float_sarkar
Line 10: IDENTIFIER -> ^ratio
Line 10: OPERATOR_ASSIGN -> :=
Line 10: NUMBER_FLOAT -> 2.5
Line 10: PUNCTUATION_TERMINATOR -> @
Line 11: KEYWORD_STRING -> bayania
Line 11: IDENTIFIER -> ^msg
Line 11: OPERATOR_ASSIGN -> :=
Line 11: STRING_LITERAL -> "Calculating"
Line 11: PUNCTUATION_TERMINATOR -> @
Line 12: KEYWORD_CHAR -> ishara
Line 12: IDENTIFIER -> ^grade
Line 12: OPERATOR_ASSIGN -> :=
Line 12: CHAR_LITERAL -> 'A'
Line 12: PUNCTUATION_TERMINATOR -> @
Line 14: KEYWORD_PRINT -> farmaan
Line 14: OPERATOR_OUTPUT -> <<
Line 14: STRING_LITERAL -> "Factorial Program"
Line 14: PUNCTUATION_TERMINATOR -> @
Line 15: KEYWORD_PRINT -> farmaan
Line 15: OPERATOR_OUTPUT -> <<
Line 15: IDENTIFIER -> ^num
Line 15: PUNCTUATION_TERMINATOR -> @
Line 17: KEYWORD_IF -> order_hai
Line 17: PUNCTUATION_EXPR_START -> [[
Line 17: IDENTIFIER -> ^num
Line 17: OPERATOR_LESS -> <?
Line 17: NUMBER_INTEGER -> 0
Line 17: PUNCTUATION_EXPR_END -> ]]
Line 17: PUNCTUATION_BLOCK_START -> {{
Line 18: KEYWORD_PRINT -> farmaan
Line 18: OPERATOR_OUTPUT -> <<
Line 18: STRING_LITERAL -> "Negative not allowed"
Line 18: PUNCTUATION_TERMINATOR -> @
Line 19: IDENTIFIER -> ^num
Line 19: OPERATOR_ASSIGN -> :=
Line 19: NUMBER_INTEGER -> 0
Line 19: PUNCTUATION_TERMINATOR -> @
Line 20: PUNCTUATION_BLOCK_END -> }}
Line 21: KEYWORD_ELSE_IF -> doosra_order
Line 21: PUNCTUATION_EXPR_START -> [[
Line 21: IDENTIFIER -> ^num
Line 21: OPERATOR_EQUAL -> =?
Line 21: NUMBER_INTEGER -> 0
Line 21: PUNCTUATION_EXPR_END -> ]]
Line 21: PUNCTUATION_BLOCK_START -> {{
Line 22: IDENTIFIER -> ^fact
Line 22: OPERATOR_ASSIGN -> :=
Line 22: NUMBER_INTEGER -> 1
Line 22: PUNCTUATION_TERMINATOR -> @
Line 23: KEYWORD_PRINT -> farmaan
Line 23: OPERATOR_OUTPUT -> <<
Line 23: STRING_LITERAL -> "Result is 1"
Line 23: PUNCTUATION_TERMINATOR -> @
Line 24: PUNCTUATION_BLOCK_END -> }}
Line 25: KEYWORD_ELSE -> warna_vigo
Line 25: PUNCTUATION_BLOCK_START -> {{
Line 26: KEYWORD_FOR -> long_march
Line 26: PUNCTUATION_EXPR_START -> [[
Line 26: IDENTIFIER -> ^i
Line 26: OPERATOR_ASSIGN -> :=
Line 26: NUMBER_INTEGER -> 1
Line 26: PUNCTUATION_TERMINATOR -> @
Line 26: IDENTIFIER -> ^i
Line 26: OPERATOR_LESS -> <?
Line 26: IDENTIFIER -> ^num
